Name,Summary,yabou,gundam,tycoon,armies,command,sd,rts,units,worms,strategy
Brigandine: The Legend of Forsena,"forsena is a magical continent where a mysterious power called mana emanates from the ground. since ancient times, people have used this power to summon monsters from another world and use them in battle. however, not everyone is able to use this ability. only a privileged few are born with this talent; they are called rune knights. you are to become the lord of one country, accompanied by some of the rune knights. it is up to you to save the continent of forsena and return peace to the land. - atlus website
http://www.atlus.com/gamebrigandine.php ",0,0,0,0,0,0,0,0,0,0
Tom Clancy's EndWar,"product description “i know not with what weapons world war iii will be fought, but world war iv will be fought with sticks and stones.” - albert einstein 2011 - 2014. the world enjoys an unprecedented era of peace as enhanced defense technology eliminates the threat of nuclear war. but can it last? 2020. constant depletion of resources has international tensions at a breaking point. one spark will ignite what no one thought could happen….a third and final world war. introducing tom clancy’s endwar, the first new clancy i.p. since the highly acclaimed tom clancy’s splinter cell launched in 2002. endwar will bring world war iii to life in a way only clancy can. features: strategy for the next generation led by creative director michael de plater (rome total war), endwar will redefine strategy gaming. designed exclusively for next-gen consoles endwar will create a theatre of war, immersing you in the drama of world war iii in a way you never thought possible. fight for your nationpick a side us, europe, russia - the fate of the world is in your hands. if you don’t step in to save your homeland, who will? command your army grow your army into the most powerful force on the planet. your army is completely customizable, and experience breeds strength - your units grow more powerful with every campaign you fight. light up the city of lightstom clancy’s world war iii won’t be won by capturing remote deserts or grasslands but by striking countries in the heart. paris, moscow, washington d.c. will all erupt in flames as you battle your way through the fully destructive playground. a whole new kind of massiveendwar will be an online multiplayer experience unlike anything you’ve ever encountered. 16 player matchups? try hundreds. 30 minute battles? try persistent matchups lasting for months at a time. this isn’t a skirmish, it’s world war iii. talk your way to victoryput the controller aside and start shouting commands. endwar can be played almost entirely via voice command.           ",0,0,0,0,1,0,0,1,0,2
Lock's Quest,"face the full force of a robot invasion and defend your kingdom using both brains and brawn in lock’s quest for nintendo ds.
to save the day, you’ll have to build settlements that will stand up to the attacks of the marauding clockwork army, as well as prove your worth as a warrior on the battlefield.
lock lives with his grandfather in a seaside village and dreams of one day becoming a famous archineer. to fulfill his ambition, he’ll have to fine-tune the skills his mysterious elder taught him and aid in his people’s battle with the clockwork army by building traps, walls, weapons and other defences to protect the precious artefacts housed within the kingdom.
it’s up to you to guide him on his quest, balancing the need to create expensive towers that will stand up to stronger attacks with the important task of spreading your defensive havens far and wide. how you choose to build on the touch screen will dictate how the game pans out, with your decisions creating a unique game experience every time you play.
as well as constructing safe and secure villages, you’ll take charge of lock as he switches from archineer to warrior and battles against the clockwork army on the frontline. special moves to mow down the enemy can be activated on the touch screen, and once you’ve laid the robots to ruin you can salvage scrap metal and use it to make essential repairs to your constructions.
once you’re satisfied your archineering skills are up to scratch, you can challenge a friend who also has a copy of the game and wage war to see how your friend’s strategy skills measure up to yours.
archineer the perfect strategy to save your kingdom and become both defensive mastermind and potent attacking force.

ward off invading robots by creating defense structures on 100 different map areas and step into combat to help protect what you’ve built.
use the nintendo ds touch screen and stylus to build your defences and trigger special moves in combat.
test your archineering skills against a friend in two-player battles via multi-card play

www.nintendo.com ",0,0,0,0,0,0,0,0,0,2
Cardfight!! Vanguard: Ride to Victory!!, ,0,0,0,0,0,0,0,0,0,0
Super Robot Taisen MX Portable, ,0,0,0,0,0,0,0,0,0,0
Zoids Assault,"
when war broke out between the world's two main superpowers, the guylos empire and the republic of helic, the effects rippled across the globe, dragging other nations into the fight. two such nations were maroll and jamil. during the war, maroll's attacks on the neighboring jamil were devastating, and even a decade after the war had ended, jamil's economy and infrastructure hadn't fully recovered. animosity, paranoia, and mutual mistrust between the two nations hindered their ability to find common ground and complete their peace talks. for ten long years, the two nations found themselves in the middle of a cold war.
now, in zoids assault, after a mysterious explosion at one of maroll's military bases, two covert ops teams are sent into jamil territory, their exact mission details never disclosed. somehow, the events of the present are inextricably linked to the past, to the final days of the war, ten years ago.




command a zoid army: take control of a fleet of giant biomechanical life forms that blend the assets of beast and machine to create fierce weapons of war.
advanced military tactics: facing armies that far outnumber you means optimizing your tactical advantages. mastering the concentrated fire tactic, managing the scan gauge and support tactics, and utilizing the electromagnetic pulse system will be crucial to your survival.
first-class customization: take your units to the next level with upgrades, including melee weapons, rockets, rifles, machine guns, shotguns, cannons, and more.

xbox.com
 ",0,0,0,1,1,0,0,1,0,0
Star Wars: Empire at War - Gold Pack, ,0,0,0,0,0,0,0,0,0,0
Supreme Commander,"for a millennium, war has raged between the united earth federation, the cybran nation and the aeon illuminate. unwavering, dramatically opposing systems of belief have locked the three forces of humanity into a bitter, merciless conflict that has come to be known as the infinite war. now, after centuries of struggle, a war that has torn the galaxy asunder has finally reached a turning point. a leader has risen above all others, and only this supreme commander holds the key to ending the infinite war once and for all.
[aspyr media] ",0,0,0,0,0,0,0,0,0,0
R-Type Command,"r-type® is reborn!
as the war between the humans and bydo rages, the fate of two races will depend upon you. r-type® returns with bold, turn-based strategy gameplay! build and command a fleet of warships and test your tactical skills against the most dangerous powers in the universe.

command the bydo: for the first time in the series, take control of the bydo forces as they launch their assault on earth!
customize your fleet: with over 80 different units to buy and upgrade, it's up to you to choose the best armada for battle.
head-to-head battle: wager your resources in a one-on-one skirmish using ad hoc mode.

 
- from game cover ",0,0,0,0,2,0,0,1,0,1
Black & White 2,"in this real-time strategy sequel, you'll reprise your role as a powerful deity in search of a following and return to the once idyllic world of eden, where the discovery of weaponry and warfare has tainted the beautiful landscape. with the help of your gigantic creature that you raise from infancy, you must earn the respect and worship of the natives. how you choose to do that, whether through nurturing them or terrorizing them, is up to you. ",0,0,0,0,0,0,0,0,0,1
Romance of the Three Kingdoms XII, ,0,0,0,0,0,0,0,0,0,0
Nobunaga's Ambition: Iron Triangle,"take on the role of japan's most powerful warlords in an attempt to unify feudal japan.
us.playstation.com ",0,0,0,0,0,0,0,0,0,0
Theme Hospital,"
theme hospital allows you to build an environment within a hospital, which will attract patients with comical complaints, illnesses, emergencies, and diseases. the game has a somewhat dark sense of humour, which is similar to that of theme park in many ways. the player has no direct control over the patients that wander the hospital, although game play largely centres on influencing their actions in one way or another.
each level consists of an empty hospital to plan and design, with set goals in the fields of financial attainment, patients cured, percent of patients cured, and hospital value. holding negative funds or allowing sufficient patients to die will bring about losing requirements. when the goals have been met the player has the option to move on to a new, more elaborate hospital with tougher winning conditions and more diseases present.
 ",0,0,0,0,0,0,0,0,0,0
MetropolisMania,"the best cities are built on friendship, not concrete!
everybody wants to live in the best city in the world! that's why you're a metropolismaker, a well-connected urban planner who creates the most popular places on the planet. of course some of your citizens have other ideas, so you'll have to work extra hard to keep everyone happy!
features!

plan the dream neighborhoods that meet the needs of the most demanding inhabitants!
over 200 unique businesses, houses and amusement facilities!
a challenging and humorous dialogue filled with riddles and quizzes!
each person of your city has his/her own unique personality and wishes!
solve mysteries and concerns involving thieves, smugglers and even space aliens!

 
 
(from the back of case) ",0,0,0,0,0,0,0,0,0,0
Onimusha Tactics,"onimusha tactics takes place in a world in which genma, the evil creatures of the underworld plans to invade the country to establish the genma empire.  ordered by their evil lord nobunaga, the demon warriors begin their attacks on humans. meanwhile, a young man of ogre clan named onimaru was training to attain higher sword skills when he received an urgent message from his master momochi telling him to come home immediately.  hurrying back home, he encounters the evil legion of genma which come to invade the land of iga.  thus the battle begins.  taking a role of onimaru and his legions, the player must conquer each map together with his units and move for absolute victory against evil.   
onimusha tactics features a world map in which players can enhance equipment and each character’s abilities as well as create weapons and armor by using genma stones.  in this world map the player also selects warriors (a maximum of eight) from his units for the next battle map. on the battle map players must use their unique abilities and the game’s detailed topography to defeat the encroaching evil ones.   it will take keen strategy and cunning tactics in order to survive! ",0,0,0,0,0,0,0,2,0,1
Aliens versus Predator: Extinction,"on a cold, distant planet, the war against extinction is on, and your command skills will determine its outcome. for the first time ever on xbox®, control an alien hive, direct a predator clan, or lead an elite squad of colonial marines to fight for the survival of your race. experience the alien versus predator™ universe from the perspective of the aliens, the predators, or the colonial marines in seven unique missions customized for each race. control never-before-seen aliens, predators, or marines, and upgrade your weapons and abilities to gain a tactical advantage. do you have what it takes to win this ultimate battle of the species?
this title is playable on xbox 360™ with a software emulator. please see http://www.xbox.com/en-us/games/backwardscompatibility.htm for more details.
 
xbox.com ",0,0,0,0,1,0,0,0,0,0
Star Wars: Empire at War,"star wars: empire at war is a real-time strategy game released in february 2006. it focuses on the fictional struggle between the empire and the rebels that begins in the time frame between episode iii and episode iv. it was developed by petroglyph, a company comprising many former members of westwood studios, best known for their work on the command & conquer series. ",0,0,0,0,1,0,0,0,0,1
RollerCoaster Tycoon 3: Platinum,"rollercoaster tycoon 3 platinum combines the excitement of rollercoasters with the fun of a great strategy simulation. rct3 platinum combines the roller coaster theme park fun of the roller coaster tycoon 3 with included expansion packs soaked! and wild! now enjoy more options than ever. build your own water slide or create your own safari with real animals. watch guest reactions to your ultimate theme park!
atari ",0,0,2,0,0,0,0,0,0,1
Nobunaga's Ambition: Rise to Power,"in nobunaga's ambition: rise to power, players will assume the role of nobunaga, or of a rival warlord, in their quest to unite japan under one rule. packed with 7 dramatic scenarios - from the 1551 struggle for power to the events following nobunaga's death in 1582, nobunaga's ambition: rise to power lets players embark on their quest from more than 300 different starting points.
www.us.playstation.com
  ",0,0,0,0,0,0,0,0,0,0
Bakugan: Rise of the Resistance, ,0,0,0,0,0,0,0,0,0,0
Black/Matrix,"black/matrix is a fantasy turn-based strategy game, developed by flight-plan and published by nec interchannel,  which was released in japan in 1998. ",0,0,0,0,0,0,0,0,0,1
Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama, ,0,0,0,0,0,0,0,0,0,0
Ultimate Card Games DS,"a compilation of challenging card games titles, based on the gba line of ultimate games from telegames and cosmigi. the game features vastly upgraded graphics to make use of the 3d potential of the nintendo ds (including a 3d ""person creator"" for designing your own avatar and full 3d environments of play), and includes playable versions of the following: solitaire (with additional solitaire variations/rule options not seen on gba), video poker (also with multiple variations), hearts, spades, euchre, cribbage, canasta, bridge, go fish!, crazy 8's, blackjack, draw poker, texas hold'em poker, pinochle and gin rumm
features:
vastly upgraded graphics to make use of the 3d potential of the nintendo ds 
a 3d ""person creator"" for designing your own avatar 
playable versions of the following: hearts, spades, euchre, cribbage, canasta, bridge, go fish!, crazy 8's, blackjack, draw poker, texas hold'em poker, pinochle and gin rummy and multiple variations of solitaire along with video poker
 ",0,0,0,0,0,0,0,0,0,0
"Warhammer 40,000: Dawn of War II - Retribution", ,0,0,0,0,0,0,0,0,0,0
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars, ,0,0,0,0,0,0,0,0,0,0
Goblin Commander: Unleash the Horde,"goblin commander:unleash the horde calls upon your skill and courage to destroy the enemy, pillage the enclaves and scorch the earth. wage war with a horde of specialized goblin warriors at your command. design a custom army from over 25 different goblins or take direct control of giant titans and battle-ready vehicles to cause reckless mayhem across the lands.

true action/strategy gameplay– engaging battles and tons of destruction, each combined with strategic and tactical elements to keep even the most hardcore rts fan challenged and satisfied. 
5 unique clans - stonekrusher, plaguespitter, hellfire, stormbringer, and nighthorde each possess unique combat skills and upgrades. 
25 goblins types - mix and match goblin clans with melee, ranged, elemental, acid and magical combat specialties to offer a different gaming experience depending on player-chosen tactics. 
controllable titans and turrets - maneuver powerful giants like the stone ogre or warpigpult. reinforce your troops with battle-ready structures such as the rock lobber or lens cannon. 
interactive and destructable environments - 25 single-player campaign levels plus multiplayer options including capture-the-flag and deathmatc.
 ",0,0,0,0,0,0,1,0,0,0
A-Train,"you'll start with a bit of bare land and a small bank loan, then establish transportation systems, buy and sell land and businesses, and even invest in the stock market. if all goes well, you'll be rich and powerful. then you can hop a train and take a first-person 3-d joy ride through your empire. if all doesn't go well... well. you'll have to find out for yourself. trains, power and money - what more could you want? ",0,0,0,0,0,0,0,0,0,0
Worms: A Space Oddity,"worms®: a space oddity is the ""worms"" experience re-imagined for the wii™. built from the ground up to take advantage of the wii controller, players will launch attacks with unique worms weaponry via a wide range of gesture based and force sensitive maneuvers. the more players put into the game, the more they get out!
now everyone can join in the experience of worms: a space oddity. enjoy a host of new worms party games and take on friends in classic worms matches.
with an all new visual style, environments, intuitive controls, and even more customization options, it’s never been easier to pick up a worms title and join in the wormy fun!

innovative wii gameplay!—built from the ground up to take advantage of the wii controller, get closer to worms than ever before as you launch attacks with a variety of force-sensitive gestures using the wii controller! the more players put into the game, the more they get out!
a more casual experience—with more intuitive controls, and handy on-screen hints, it’s never been easier to pick up a worms title and join in the wormy fun! 
classic worms with a twist!—the ultimate blend of classic worms game modes with a host of all new party games. experience a reinvented single player experience, multiplayer modes, and even more customization for the most rewarding worms experience ever! 
it’s worms in space!—immerse yourself in 6 all new environments with a whole new visual style as the worms battle their way home through space! (cavernia, tenticlia, frostal, kaputzol, mechanopolis, earth!)

game website ",0,0,0,0,0,0,0,0,11,0
Worms: Open Warfare,"up to 4 players can take control of a squad of 4 worms. each worm gets a turn, cycled through the teams, to choose from an array of weapons and fire at the other worms. the better your accuracy, the more damage you do and the last team standing wins. the landscape varies from the pits of hell to alien worlds and are randomly generated each turn. truly a classic game.
gameplay:viewed from a side on perspective, in your turn you get to move your worm around to get into a position to fire at other worms. depending on the settings you may have a set time limit to complete your move. once your turn is over, another team goes and when it gets back round to your turn, you use one of your other worms. teams are customisable because you can change the ai of the computer teams and even change how much health each team of worms has to compensate for the players' skill level. if a worm falls into water/acid/fire or goes off screen (either by jumping or being blown off) then you lose the worm regardless of how much health he had.
features:
over 15 different weapons and abilities to choose from each turn 
teams, weapons and time limits per team are all customisable 
the amount of health per team can be changed to compensate for people's abilities 
thousands of possible landscapes, randomly generated 
up to 4 players with optional computer teams filling the other slots
 ",0,0,0,0,0,0,0,0,1,0
Future Card Buddyfight: Yuujou no Bakunetsu Fight!, ,0,0,0,0,0,0,0,0,0,0
FabStyle, ,0,0,0,0,0,0,0,0,0,0
GOTHA: Ismailia Seneki,"gotha is a strategy game, developed by micronet and published by sega,  which was released in japan in 1995. ",0,0,0,0,0,0,0,0,0,1
Dragon Force II: Kamisarishi Daichi ni,"dragon force ii: kamisarishi daichi ni is a strategy game, developed and published by sega,  which was released in japan in 1998. ",0,0,0,0,0,0,0,0,0,1
Quo Vadis,"quo vadis is a strategy game, developed by the edge interactive and published by guramusu,  which was released in japan in 1995. ",0,0,0,0,0,0,0,0,0,1
Stella Deus: The Gate of Eternity,"forsaking hope, the inhabitants of fortuna await death as a deadly mist called the 'miasma' sweeps across the land. in reaction to their apathy, lord dingus unleashes the imperial legion to eliminate their 'weakness'.
in this engrossing rpg, two heroes attempt to avert cataclysm. spero, an imperial legionaire, hunts spirits to further the alchemic studies of his friend viser, while linea, a shamanic warrior, seeks to open the fabled gate of eternia.
 

over 50 hours of tactical gameplay including side quests

gorgeous hand-drawn artwork and voiced dialogue bring the world of stella deus to life

effectively manage your characters to launch devastating team attacks
 ",0,0,0,0,0,0,0,0,0,0
P.T.O. IV: Pacific Theater of Operations,"from midway to the mediterranean, every conquest brings you closer to victory in p.t.o. iv. set during wwii, this game puts you in charge of us, japanese, german, or british forces in missions to storm enemy garrisons. in more than 15 regional and two global campaigns, your missions include striking leyte gulf and establishing supply lines, ordering german wolfpack ops in the north sea, and launching royal navy cruisers to intercept japanese dive-bombers. history is in your hands as you lead 100 battleships into combat while dispatching spies, disrupting trade, and realigning nations. ",0,0,0,0,0,0,0,0,0,0
Tears to Tiara: Kakan no Daichi,"tears to tiara: kakan no daichi is a real-time strategy game, developed and published by aqua plus,  which was released in japan in 2008. ",0,0,0,0,0,0,0,0,0,1
Culdcept Revolt,"as the culdcept series celebrates its 20th  anniversary, the addictive card-meets-board game is back, bigger and  better than ever with hundreds of new cards, inventive boards, and  exciting multiplayer gameplay! follow allen, a new recruit for the rebel  free bat forces as you fight for freedom from the tyranny of count  kraniss. build your deck, create new strategies, and dominate the board  in culdcept revolt! with all the classic elements veterans love yet a gentle learning curve for newcomers, culdcept revolt is the best culdcept yet! 

addictive fantasy gameplay - jump into a match and  lose yourself in a world of monsters, magic, and strategy as you  navigate the board and summon monsters on your way to victory in this  fast-paced, card-collecting fantasy!
near endless strategy - collect over 400 unique  cards and develop your skills as you test your deck on new boards with  new conditions, or return to favorites to hone your strategies.
play solo or online - discover the story of  culdcept with an engaging quest mode, or practice with your decks in  solo match. once you’ve nailed down your strategies, challenge friends  and strangers with up to 4-player local play or online play to discover  new strategies, climb the leaderboards, and enjoy the excitement of  unpredictable and fun matchups!
customize your experience - make your gaming  personal by developing a deck to fit your gameplay style, and choose the  perfect avatar and deck to represent your playstyle and personality!

source: publisher ",0,0,0,0,0,0,0,0,0,2
The Banner Saga Trilogy - Bonus Edition, ,0,0,0,0,0,0,0,0,0,0
Gladius, ,0,0,0,0,0,0,0,0,0,0
Constructor HD,"crime is your greatest tool!
in a town where anything goes,  you can’t rise to the top without taking a few others down. from dodgy  deals to shifty tricks, do what you gotta do to go from small-time  slumlord to filthy rich tycoon.
view the great new constructor trailer below, voiced by none other than the irrepressible boycie from only fools & horses!
source: http://www.system3.com/games/constructor-ps4/ ",0,0,0,0,0,0,0,0,0,0
Kessen III,"kessen iii unites individual and mass combat, taking the gameplay of the previous titles a step further. thanks to the expanded 'group control engine', you're no longer limited to directing the action from the perspective of unit officer - now you can dictate the direction of the unit as a whole, enabling both macro and micro-management of your forces.
the plot follows the rise of oda nobunaga, the leader who attempted to bring all of japan 'under a single sword' ('tenka-fubu') at the end of the warring states period. it's a dream he never achieved, but now history can be re-written with kessen iii&.
in addition to the new control features and a solid storyline (supported by over 120 minutes of movie sequences), kessen iii features twice as many battles as its predecessors. such quantity, when combined with consistently high quality, makes for a detailed and engrossing historical epic.
 

expanded controls allow detailed direction at the unit level

epic storyline, backed by 120+ minutes of movie sequences

twice as many battles as its predecessors
 ",0,0,0,0,0,0,0,0,0,0
Super Robot Wars X, ,0,0,0,0,0,0,0,0,0,0
Wrath Unleashed,"the war has raged for an eternity between the forces of light and dark, order and chaos. now it is your turn to step into the arena, commanding a mythical force of fantastical creatures.
wrath unleashed puts you in command of one of four demigods, each representing one of the four elements: earth, air, fire and water. each has chosen a side in the struggle of order vs chaos but, whoever you choose, you will have an army of mythological creatures at your disposal. from the light order unicorn to the dark chaos demon, you'll see familiar and not so familiar monsters here, all of which have magic and melee attacks at their disposal.
the game is broken into two distinct play modes - turn-based strategy, and fights between warring creatures. each turn takes place on a huge battleground, broken down into tactical hexes, on which you move your creatures, cast spells, and try to capture strategic temples, citadels and mana points. as creatures clash on this board, wrath unleashed turns into a fighting game, with you controlling your monsters as they square off against each other. a torrent of magic, melee and mayhem is released as they fight to secure you victory.
as well as a 16 mission campaign, there are various versus modes for you to explore with up to four players competing simultaneously. whichever way you choose to play, wrath unleashed provides plenty of strategy and excitement for the mythologically minded.
  ",0,0,0,0,1,0,0,0,0,1
Commandos 2: Men of Courage,"commandos 2: men of courage is a tactical action/strategy game set against the backdrop of world war ii. take control of an elite group of commandos who must venture deep into enemy territory and utilize their combined expertise to complete a series of mission-based objectives. go covert into new environments based on authentic wwii locations: the heart of the third reich, a northern european submarine installation, the headquarters of the japanese army and more.

features:

interact like never before with the environment: steal enemy uniforms and weapons, climb poles, swing from cables, swim, utilize vehicles, and climb in/out of buildings, ships, planes.


control nine commandos: including a green beret, sniper, demolitions expert, seductress, thief, and even a dog.


all new 3d engine: rotate the environment 360, move seamlessly in/out of buildings, submarines, planes and under water, and zoom in/out on the environment.


source - www.eidosinteractive.com (publisher) ",0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Battle for Middle-Earth,"command the legendary heroes and armies of middle-earth in a real-time, open world.  experience middle-earth like never before in the lord of the rings, the battle for middle-earth, the first the lord of the rings game that puts you in command of a real-time, open world. control the legendary heroes, massive armies, and epic campaigns of middle-earth in over 25 missions based on all three films of the lord of the rings trilogy. from waging all-out combat among the vast forces of good and evil to controlling your favorite heroes and characters to managing the troops and resources of your side, the fate of a living, breathing middle-earth is in your hands.
features:
fight the epic, sweeping battles from the academy award-winning the lord of the rings film trilogy from a whole new perspective—as commander of hundreds of soldiers and creatures. 
control massive armies and interactive battlefields across the vast world of middle-earth. 
lead the forces of good or evil by controlling one of four unique groups, from the riders of rohan to the forces of sauron, each with its own playing style, resource management, and base-building techniques. 
take command of strategic territories across a highly detailed, 3d map of middle-earth and turn the tide in the battle to control the one ring. 
watch your armies come to life as they express emotion—from anger to fear to triumph—when reacting to events and their surroundings. 
make smarter and faster decisions in the heat of battle with an all-new intuitive, streamlined interface that gives you contextual control of your forces and structures. 
challenge fellow rulers online in massive multiplayer battles.

min system requirements:cd-rom version: os: windows xp or 2000  cpu: 1.3 ghz or faster  ram: 256 mb  disc drive: 8x or faster cd/dvd drive  hard drive: 4 gb or more free space  video: directx 9.0b compatible (see right)  sound: directx 9.0b compatible  input: keyboard and mouse  dvd-rom version: os: windows xp or 2000  cpu: 1.3 ghz or faster  ram: 256 mb  disc drive: 8x or faster cd/dvd drive  hard drive: 4 gb or more free space  video: directx 9.0b compatible (see right)  sound: directx 9.0b compatible  input: keyboard and mouse ",0,0,0,3,3,0,0,0,0,0
SD Gundam: Gashapon Wars, ,0,0,0,0,0,0,0,0,0,0
Romance of the Three Kingdoms XI,"with ancient china as the backdrop, romance of the three kingdoms ix chronicles the events of 2nd and 3rd century, when a once grand empire fell into civil war. rtk ix is vastly different from previous games in the series. most notably, players immediately assume the rank of a ruler. traditionally reserved as the highest rank in the series, the role of ruler will test your leadership, management, and strategy skills.
gameplay:as a ruler, one of the keys to maintaining authority is a strong corps of loyal officers, so rtk ix’s officer development system has been enhanced with a new point and item system. with the new point system, players earn points to increase officer abilities and skills. with the item system, certain items can further an officer’s development, heighten intelligence or improve his abilities in war. players can now use save data from dynasty warriors 4, dynasty warriors 4 xtreme legends or dynasty tactics 2 to obtain a new officer.   rtk ix’s combat has evolved in many ways and takes place at a much higher tempo than previous games in the series. players can handle political and military affairs at the same time, and as a result use diplomacy while under attack or shift strategies against enemy units in the midst of combat. players can also build towers to defend bases or construct obstacles to hold back invasions. furthermore, certain troop formations can activate specific tactics such as ""arrows"" or ""crossbow,"" and with the new tactical combo system, players can set officer formations to unleash a barrage of tactics.   in addition to officers, foreign tribes are now a pivotal force and can help players protect their dominion. the ""wuwan"", ""xi qing"", ""shanyue"", and ""nanman"" tribes have powerful armies, yet refrain from expanding their territories. if a player establishes relations with a tribe, the tribe may send reinforcements if needed. however, if the player declares war against them, the tribes may attack.
features:* new personality dependent system affects an officer’s response to player commands.   * new display shows capital, troop movements, geography, enemy strongholds, and more all on a single map.   * 20 historical and fictional scenarios with multiple story endings and epilogues.   * challenge scenarios where players must clear a mission within a limited time.   * character-specific events and clear bonuses.   * 34 special event sequences.   * over 30 different tactics and 12 military formations.   * a stirring score with 23 orchestrated pieces.   * play with up to 8 characters at once.   * updated tutorial system. ",0,0,0,0,0,0,0,1,0,1
Elements of Destruction,"become the master of disaster!
some people predict the weather, now you can create it. use mother nature to create, control, destroy and exact revenge using all of the awesome forces of nature at your disposal.

blow buildings apart, start raging fires and damaging lightning as you cause mayhem in towns, cities, and the countryside!
unleash lightning, tornadoes, earthquakes and many other forces of nature. use your wits or be thwarted by weather harnessing enemies that wish to stop you. 
compete for elemental dominance with up to three friends in two fast action multiplayer modes—race and tug-of-war



game website ",0,0,0,0,0,0,0,0,0,0
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V, ,0,0,0,0,0,0,0,0,0,0
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,"kidou senshi gundam: giren no yabou - axis no kyoui v is a strategy game, developed by bec and published by bandai namco games,  which was released in japan in 2009. ",1,0,0,0,0,0,0,0,0,1
Robocalypse,an accident at thermidoom labs has produced out-of-control military        robots that are destroying the city!  build your own robot army to        defeat them…and save humanity from extinction! ,0,0,0,0,0,0,0,0,0,0
Romance of the Three Kingdoms IX,"with ancient china as the backdrop, the game chronicles the dramatic events of the 2nd and 3rd centuries when the once grand empire fell into civil war. while retaining many of the features that have become hallmarks of the romance series, rtk ix (romance of the three kingdoms ix) is vastly different from previous games in the series. most notable is that players immediately take the rank of a ruler. traditionally reserved as the highest rank in the series, the role of ruler will test any player's leadership, management and strategy skills. 
rtk ix's combat has evolved in many ways and takes place at a much higher tempo than previous games in the series. players can handle political and military affairs at the same time, and as a result use diplomacy while under attack or shift strategies against enemy units in the midst of combat. players can also build towers to defend bases or construct obstacles to hold back invasions. furthermore, certain troop formations can activate specific tactics such as ""arrows"" or ""crossbow,"" and with the new tactical combo system, players can set officer formations to unleash a barrage of tactics. ",0,0,0,0,0,0,0,1,0,1
Transformer: Rise of the Dark Spark,"explore two unique worlds as your favorite transformers characters from transformers: age of extinction and cybertron universes! • includes over 40 playable characters from two different universes! • change form anytime: effortlessly switch between robot and vehicle form! • beyond the movie: weave your way through earth and cybertron universes in an unforgettable battle to secure the dark spark. • epic multiplayer battles: expanded four-player co-op online  escalation mode with new upgradeable defenses and challenging power  foes! • new unlock system: leveling system spans campaign and  escalation, allowing players to unlock rewards that will aid progression  in both modes!
source: publisher ",0,0,0,0,0,0,0,0,0,0
Vanguard Bandits,"in a world where mythology and technology are one, a young rebel and his ragtag crew of friends are unwittingly drawn into a holy war being waged by the bloodthirsty general faulkner and his mercenary forces.guide the charismatic bastion as he realizes his destiny to leas the rebellion againstjunaris kingdom, and to save the people of his world from an eternity of oppression.lead powerful squadron of robotic warriors into battle and take complete command of their actions. smite your foes with cleaving swords, piercing spears, and sizzling magical spells. use the terrain to you advantage and maneuver you forces into superior combat positions. witness the result of your tactical decisions in glorious 3d combat sequences. with almost 60 missions and five unique endings, you social life will disappear without a trace, and the best part is...you won't care!to battle, then!
 
from the game's back cover ",0,0,0,0,1,0,0,0,0,0
Battlezone: Rise of the Black Dogs,"exploit secret alien technology as you beat the americans and soviets at their own game in this action-packed, cold war thriller! battlezone: rise of the black dogs features advanced space-based tank combat, sniper capability and death-match intensity. with three modes of play, battlezone gives you the power to define your combat experience - the only remaining question is how long you'll be around to use it. ",0,0,0,0,0,0,0,0,0,0
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice, ,0,0,0,0,0,0,0,0,0,0
Mobile Suit Gundam: Try Age SP, ,0,0,0,0,0,0,0,0,0,0
Real Time Conflict: Shogun Empires,"in shogun warrior, players assume the role of one of two brothers who are locked in bloody combat in feudal japan. conquering neighboring territories and amassing formidable armies, only one warrior is able to survive the deadly endgame to realize his ambitions and claim the title of shogun. in their quest to become shogun, players utilize the nintendo ds's touch screen to plot complex battle plans while watching the action play out through detailed 3d graphics on the top screen. touch screen mini-games such as duels, castle sieges and sea battles enhance the battle experience and give shogun warrior impressive gameplay variety and replay value. in between encounters, gamers are able to use diplomacy and military strategy to manage their forces. for the ultimate in feudal warfare, up to 8 players can engage in enormous clashes through the wireless multiplayer capabilities of the nintendo ds. ",0,0,0,0,0,0,0,0,0,1
San Goku Shi Taisen Ten,"san goku shi taisen ten is a strategy game, developed and published by sega,  which was released in japan in 2008. ",0,0,0,0,0,0,0,0,0,1
Dino Master: Dig Discover Duel,"
dino master drops you into the role of dave the digger on his hunt for the biggest and best dinosaur fossils around the globe. capturing these fossils won't be easy as you move quickly to surround your dig site while trying to avoid giant insects and other nasties. once you've excavated your finds, bring them back to the laboratory to rebuild them and then pit dino against dino in battle mode.

includes over 100 real species of dinosaurs 
dig your way through over 35 different puzzle levels based all over the world
reanimate your fossils and then battle them against other dinosaurs 
take on your friend's dinosaurs via 2-player wireless link  
master over 30 fighting techniques for the battle mode as you uncover fossils 

majesco ",0,0,0,0,0,0,0,0,0,0
